City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Jamestown,US,42.097,-79.2353,19.0,79,90,4.61
Qaanaaq,GL,77.484,-69.3632,10.18,75,98,9.71
Hithadhoo,MV,-0.6,73.0833,81.43,80,42,13.8
Cape Town,ZA,-33.9258,18.4232,68.0,88,0,11.5
Kapaa,US,22.0752,-159.319,75.2,53,40,10.36
Longyearbyen,SJ,78.2186,15.6401,6.8,72,75,18.41
Nikolskoye,RU,59.7035,30.7861,7.0,85,20,3.96
Albany,US,42.6001,-73.9662,23.0,46,100,1.99
Måløy,NO,61.9353,5.1136,26.6,54,0,16.11
Sept-Îles,CA,50.2001,-66.3821,8.01,51,90,11.5
Trincomalee,LK,8.5711,81.2335,76.66,64,59,10.16
Chui,UY,-33.6971,-53.4616,70.02,86,97,9.86
Avarua,CK,-21.2078,-159.775,86.0,70,100,5.75
Shestakovo,RU,56.4915,103.96,3.58,92,100,1.19
Naze,JP,28.3667,129.4833,60.8,88,75,12.66
Rikitea,PF,-23.1203,-134.9692,78.6,78,3,14.2
Tasiilaq,GL,65.6145,-37.6368,8.6,52,79,5.75
Hilo,US,19.7297,-155.09,80.6,50,40,12.66
Ellisras,ZA,-23.6649,27.7443,69.01,75,100,4.14
Pachino,IT,36.7186,15.0907,50.0,93,90,5.75
Torbay,CA,47.6666,-52.7314,21.99,68,90,31.07
Ushuaia,AR,-54.8,-68.3,68.0,42,40,10.36
Makkah al Mukarramah,SA,21.4267,39.8261,73.04,55,0,4.03
Castro,BR,-24.7911,-50.0119,60.49,98,100,7.45
Bilibino,RU,68.0546,166.4372,-4.2,86,97,2.19
Vaini,TO,-21.2,-175.2,86.0,74,40,11.5
Yulara,AU,-25.2406,130.9889,91.4,43,58,11.5
Hermanus,ZA,-34.4187,19.2345,69.01,86,0,3.0
Gizo Government Station,SB,-8.103,156.8419,84.96,71,96,8.95
Pangnirtung,CA,66.1451,-65.7125,5.77,70,0,2.33
Khatanga,RU,71.9667,102.5,-21.75,83,1,4.36
Bethel,US,41.3712,-73.414,24.01,68,100,1.3
Portales,US,34.1862,-103.3344,32.0,100,75,13.8
Bagdarin,RU,54.4333,113.6,11.89,89,100,6.82
Pimentel,PE,-6.8367,-79.9342,73.0,83,100,3.0
Cayenne,GF,4.9333,-52.3333,75.2,100,90,2.3
Codrington,AU,-38.2667,141.9667,91.6,25,98,19.46
Cabo San Lucas,MX,22.8909,-109.9124,68.0,68,1,17.27
Norman Wells,CA,65.282,-126.8329,-22.0,76,20,5.75
Faya,SA,18.3851,42.4509,50.0,66,0,1.72
Mataura,NZ,-46.1927,168.8643,50.25,87,100,13.06
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,77.31,76,1,2.55
Lebu,CL,-37.6167,-73.65,59.5,95,4,8.63
Mugur-Aksy,RU,50.35,90.5,-10.8,63,14,5.64
Hīrna,ET,9.2167,41.1,54.86,50,95,1.77
Karpathos,GR,35.507,27.2132,59.0,77,0,9.22
Lorengau,PG,-2.0226,147.2712,82.92,75,100,10.29
Ambilobe,MG,-13.2,49.05,73.56,92,100,2.86
Bozeman,US,45.6796,-111.0386,-0.4,65,75,4.61
Bredasdorp,ZA,-34.5322,20.0403,62.6,94,8,2.3
Atuona,PF,-9.8,-139.0333,78.71,80,2,17.25
Touros,BR,-5.1989,-35.4608,80.6,83,40,8.05
Ribeira Grande,PT,38.5167,-28.7,58.32,65,45,34.29
Mokrous,RU,51.2333,47.5167,14.74,97,100,6.6
Tekeli,KZ,44.83,78.8239,32.32,95,100,4.21
Kyrenia,CY,35.3417,33.3167,46.4,81,0,5.75
San Patricio,US,28.017,-97.5169,64.4,88,90,13.8
Mońki,PL,53.405,22.7979,6.1,96,100,8.05
Grinnell,US,41.743,-92.7224,8.6,66,90,8.05
Bengkulu,ID,-3.8004,102.2655,81.97,65,3,1.74
Mahébourg,MU,-20.4081,57.7,78.8,78,40,13.8
Saint Paul Harbor,US,57.79,-152.4072,37.4,75,90,29.93
Sangar,RU,63.9242,127.4739,-7.01,87,100,4.03
Hong Kong,HK,22.2855,114.1577,63.0,82,0,1.99
Beisfjord,NO,68.3751,17.5988,12.2,92,40,2.3
Rehli,IN,23.6333,79.0833,59.25,39,100,1.92
Yaan,NG,7.3833,8.5667,75.2,34,20,5.73
Kaili,ID,-3.4626,120.2147,81.0,63,53,2.73
Porbandar,IN,21.6422,69.6093,66.85,54,100,8.46
Leningradskiy,RU,69.3833,178.4167,-28.05,83,0,6.24
Blatnica,BA,44.4864,17.8233,39.2,100,75,16.11
San Angelo,US,31.4638,-100.437,30.2,93,90,14.97
Quatre Cocos,MU,-20.2078,57.7625,79.0,78,40,13.8
Sabha,LY,27.0377,14.4283,58.84,31,0,9.06
Provideniya,RU,64.3833,-173.3,-7.6,64,0,22.37
Aklavik,CA,68.2191,-135.0107,-25.6,75,0,3.44
Sobolevo,RU,54.4299,31.8996,-1.66,92,100,4.79
Praia da Vitória,PT,38.7333,-27.0667,55.4,76,20,27.49
Marystown,CA,47.1666,-55.1483,19.83,89,66,28.88
Barrow,US,71.2906,-156.7887,-34.6,85,1,8.05
San Quintín,MX,30.4833,-115.95,56.39,77,1,13.42
Busselton,AU,-33.65,115.3333,66.0,65,81,4.0
La Rioja,ES,42.25,-2.5,37.4,93,0,2.3
San Cristobal,VE,7.7669,-72.225,64.94,89,36,1.9
Gillette,US,44.2911,-105.5022,5.0,78,90,9.22
Ponta do Sol,PT,32.6667,-17.1,61.0,77,86,1.01
Batagay,RU,67.6333,134.6333,-12.91,84,100,2.08
Lithgow,AU,-33.4833,150.15,73.0,97,35,1.01
La Ronge,CA,55.1001,-105.2842,-20.2,69,98,4.61
Eenhana,NA,-17.4667,16.3333,67.14,90,100,5.08
Yellowknife,CA,62.456,-114.3525,-11.2,77,20,4.61
Panjāb,AF,34.388,67.0233,12.04,73,0,4.7
Machalí,CL,-34.1833,-70.6667,68.85,68,58,1.54
Huarmey,PE,-10.0681,-78.1522,72.97,72,94,5.88
Saskylakh,RU,71.9167,114.0833,-22.99,83,0,6.55
Half Moon Bay,US,37.4636,-122.4286,55.99,87,75,9.22
Faanui,PF,-16.4833,-151.75,82.11,69,0,17.36
Port Elizabeth,ZA,-33.918,25.5701,73.4,94,75,2.3
Westport,US,41.1415,-73.3579,30.99,47,40,4.61
Mana,GF,5.6592,-53.7767,76.93,83,12,11.99
Lüderitz,NA,-26.6481,15.1594,66.15,78,94,2.46
Neepawa,CA,50.2289,-99.4664,-20.2,63,1,8.05
New Norfolk,AU,-42.7826,147.0587,75.0,32,93,1.99
Hjelset,NO,62.7833,7.4833,17.6,53,0,8.05
Marondera,ZW,-18.1853,31.5519,60.15,99,99,8.12
Grand Gaube,MU,-20.0064,57.6608,79.0,73,19,5.99
Chokurdakh,RU,70.6333,147.9167,-12.35,89,74,6.91
Isangel,VU,-19.55,169.2667,87.8,66,40,5.75
Cikupa,ID,-6.2364,106.5083,86.0,83,20,8.05
Dakar,SN,14.6937,-17.4441,66.2,77,0,8.05
Belaya Gora,RU,68.5333,146.4167,-16.73,88,35,2.89
Alice Town,BS,25.7167,-79.3,74.53,84,96,18.72
San Jose,US,37.3394,-121.895,60.8,55,1,6.91
Khomutovka,RU,51.9207,34.5619,4.98,95,100,4.9
Ust-Nera,RU,64.5667,143.2,8.74,84,67,4.54
East London,ZA,-33.0153,27.9116,74.32,89,1,10.09
Bluff,NZ,-46.6,168.3333,52.83,87,100,30.49
Goundi,TD,9.3627,17.366,67.32,22,100,2.75
Taltal,CL,-25.4,-70.4833,65.1,75,0,2.55
Urubichá,BO,-15.3833,-62.95,68.94,92,100,2.19
Esperance,AU,-33.8667,121.9,64.4,59,90,17.27
Cidreira,BR,-30.1811,-50.2056,73.42,83,87,14.65
Bathsheba,BB,13.2167,-59.5167,78.8,61,40,21.85
Shimoda,JP,34.6667,138.95,55.4,41,20,12.66
Konotop,UA,51.2403,33.2026,6.87,95,100,3.78
Beaufort,MY,5.3473,115.7455,80.6,89,20,4.61
Abalak,RU,58.1286,68.5944,-24.95,86,0,4.7
Matamoros,MX,25.5333,-103.25,82.4,10,1,3.83
Zasheyek,RU,67.4066,32.5499,6.15,94,100,5.37
Thompson,CA,55.7435,-97.8558,-23.8,76,40,6.91
Fukuechō,JP,32.6881,128.8419,53.6,62,0,8.05
Leirvik,NO,59.7798,5.5005,26.01,58,90,9.22
Pemba,MZ,-12.974,40.5178,77.0,88,75,12.66
Jining,CN,35.405,116.5814,52.0,1,0,7.67
Garissa,KE,-0.4536,39.6401,75.49,71,93,6.15
Kemijärvi,FI,66.7131,27.4306,4.98,94,99,3.85
Araouane,ML,18.9048,-3.5265,68.22,18,8,10.42
Talnakh,RU,69.4865,88.3972,-16.24,80,0,2.93
Gamba,GA,-2.65,10.0,77.13,92,46,1.39
Butaritari,KI,3.0707,172.7902,81.7,76,100,14.72
Puerto Ayora,EC,-0.7393,-90.3518,75.0,98,74,5.86
Saldanha,ZA,-33.0117,17.9442,64.4,82,0,3.44
Carnarvon,AU,-24.8667,113.6333,75.2,64,75,20.71
College,US,64.8569,-147.8028,6.8,56,90,4.61
Upernavik,GL,72.7868,-56.1549,-2.4,91,100,12.59
Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,13.8
Okhotsk,RU,59.3833,143.3,24.13,93,100,12.68
Iqaluit,CA,63.7506,-68.5145,3.2,78,20,4.61
Cedar City,US,37.6775,-113.0619,48.2,40,90,4.61
Durazno,UY,-33.4131,-56.5006,68.74,85,100,10.71
Broome,US,42.2506,-75.833,19.99,49,90,4.61
Polyarny,RU,69.1989,33.4478,6.8,85,75,2.24
Thunder Bay,CA,48.4001,-89.3168,-8.0,70,20,4.61
Ozark,US,37.0209,-93.206,18.0,89,100,1.99
Saint-Philippe,RE,-21.3585,55.7679,77.0,69,40,4.61
Merauke,ID,-8.4667,140.3333,83.82,79,99,10.47
Hambantota,LK,6.1241,81.1185,68.0,100,58,3.44
Kushima,JP,31.4583,131.2333,51.8,46,75,6.91
Haren,DE,52.7833,7.2333,21.2,79,0,4.61
George Town,MY,5.4112,100.3354,82.4,78,20,3.44
Kangasala,FI,61.4638,24.076,-0.99,84,90,6.91
Suruç,TR,36.9761,38.425,41.0,93,0,6.91
Pilar,BR,-9.5972,-35.9567,75.2,94,75,4.61
Nacala,MZ,-14.5428,40.6728,76.23,86,100,10.22
Sovetskiy,RU,61.3614,63.5842,-24.2,85,0,3.27
Sola,VU,-13.8833,167.55,82.22,76,1,11.54
Punta Arenas,CL,-53.15,-70.9167,55.4,82,75,10.36
Batemans Bay,AU,-35.7167,150.1833,78.01,72,0,5.99
Tieli,CN,46.95,128.05,24.66,94,99,5.64
Narsaq,GL,60.9167,-46.05,33.8,27,0,32.21
Hasaki,JP,35.7333,140.8333,52.0,40,20,12.66
Puro,PH,12.4841,123.3827,82.78,74,0,5.84
Vallenar,CL,-28.5708,-70.7581,62.31,72,6,2.53
Dikson,RU,73.5069,80.5464,-22.18,87,2,6.55
Cherskiy,RU,68.75,161.3,-9.44,87,0,3.47
Mar del Plata,AR,-38.0023,-57.5575,68.0,83,90,16.11
Vestmanna,FO,62.1564,-7.1664,24.8,86,10,1.14
Katsuura,JP,35.1333,140.3,53.6,35,20,19.57
Cap Estate,LC,14.0833,-60.95,78.8,65,40,14.97
Sitka,US,57.0531,-135.33,30.2,29,20,7.7
Olinda,BR,-8.0089,-34.8553,80.6,69,75,9.22
Anaconda,US,46.1285,-112.9423,10.4,72,90,4.61
Tiznit Province,MA,29.5833,-9.5,54.3,85,0,0.94
Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,18.41
Grindavik,IS,63.8424,-22.4338,35.6,80,75,14.97
Misratah,LY,32.3754,15.0925,64.85,34,0,13.53
Camacha,PT,33.0833,-16.3333,60.8,88,40,5.75
Ancud,CL,-41.8697,-73.8203,66.99,63,0,6.91
Port Alfred,ZA,-33.5906,26.891,71.01,94,12,4.34
Srednekolymsk,RU,67.45,153.6833,-12.32,88,42,4.25
Pyaozerskiy,RU,65.8333,31.1667,1.81,92,35,4.5
Omboué,GA,-1.5746,9.2618,78.58,89,100,1.77
Souillac,MU,-20.5167,57.5167,78.8,78,40,13.8
Kathmandu,NP,27.7167,85.3167,44.6,100,40,2.3
Pevek,RU,69.7008,170.3133,-14.62,70,0,0.54
Greytown,ZA,-29.0642,30.5928,62.15,97,100,0.43
Mount Gambier,AU,-37.8333,140.7667,80.6,39,100,10.36
Yeppoon,AU,-23.1333,150.7333,84.2,51,20,12.66
Sur,OM,22.5667,59.5289,68.41,73,69,7.18
Hofn,IS,64.2539,-15.2082,38.53,74,100,13.31
Lavrentiya,RU,65.5833,-171.0,-25.78,80,0,9.28
Port Lincoln,AU,-34.7333,135.8667,73.45,55,100,15.01
Kumul,CN,42.8,93.45,30.38,80,52,8.61
Requena,ES,39.4883,-1.1004,53.6,62,0,5.75
Morón,AR,-34.6534,-58.6198,72.0,85,100,5.01
Aswān,EG,24.0934,32.907,64.8,40,60,8.86
Rantepao,ID,-2.9701,119.8978,82.78,55,76,1.7
Coyhaique,CL,-45.5752,-72.0662,69.8,49,99,1.14
Asău,RO,46.4333,26.4,36.0,74,100,3.51
San Lorenzo,PY,-25.3333,-57.5333,68.0,94,90,9.22
Batagay-Alyta,RU,67.8006,130.4114,-4.68,87,26,2.95
Ranong,TH,9.9658,98.6348,80.6,78,0,5.75
Ginda,IN,30.6945,78.4932,44.53,38,0,6.31
Samarai,PG,-10.6167,150.6667,86.36,65,65,8.61
Arlit,NE,18.7369,7.3853,68.25,20,1,6.2
Kenai,US,60.5544,-151.2583,19.0,79,90,18.41
Ushumun,RU,52.7833,126.5333,4.21,94,100,10.74
Sambava,MG,-14.2667,50.1667,76.69,84,100,6.2
Benghazi,LY,32.1167,20.0667,62.94,39,0,18.19
Xai-Xai,MZ,-25.0519,33.6442,77.32,81,5,10.63
Vostok,RU,46.4856,135.8833,15.69,92,6,2.93
Clyde River,CA,70.4692,-68.5914,5.0,92,0,25.34
Xushan,CN,30.1764,121.2457,52.0,100,90,4.47
Ahipara,NZ,-35.1667,173.1667,67.33,67,93,11.9
Arauco,CL,-37.2463,-73.3175,59.0,94,90,5.75
Mehamn,NO,71.0357,27.8492,20.82,88,100,3.6
Nioro,GM,13.35,-15.75,74.91,19,0,5.06
Rabat,MA,33.9911,-6.8401,53.01,100,13,4.92
Mastic Beach,US,40.7668,-72.8521,30.99,55,90,3.44
Udachny,RU,66.4167,112.4,-24.2,83,31,4.18
Paratinga,BR,-12.6906,-43.1842,70.93,89,64,2.57
Jumla,NP,29.2747,82.1838,37.81,59,0,5.1
Port Moresby,PG,-9.4431,147.1797,89.6,62,40,5.75
Cheltenham,GB,51.9,-2.0833,25.0,88,13,3.0
Haicheng,CN,40.8516,122.7475,39.29,68,0,15.03
Arraial do Cabo,BR,-22.9661,-42.0278,74.59,82,100,5.48
Haverfordwest,GB,51.8017,-4.9691,32.0,80,93,15.01
Husavik,IS,66.0449,-17.3389,17.6,86,90,3.44
Lompoc,US,34.6391,-120.4579,57.2,72,1,12.66
Hobyo,SO,5.3505,48.5268,76.77,73,100,19.73
Twentynine Palms,US,34.1356,-116.0542,68.0,19,1,9.22
Vao,NC,-22.6667,167.4833,76.55,82,33,13.96
Tessalit,ML,20.1986,1.0114,65.79,20,1,9.53
Matipó,BR,-20.2839,-42.3411,65.75,92,27,2.86
Vänersborg,SE,58.3807,12.3234,19.4,86,90,12.66
Airai,TL,-8.9266,125.4092,72.99,80,97,2.06
Tonj,SS,7.2737,28.6822,71.26,22,100,4.85
Ruteng,ID,-8.6136,120.4721,74.34,75,100,1.3
Kayes,ML,14.0,-11.0,77.16,17,10,5.26
Grande Prairie,CA,55.1667,-118.8027,-18.4,63,75,4.61
Manta,EC,-0.95,-80.7333,78.8,78,0,8.05
Tommot,RU,58.9564,126.2925,3.31,91,100,1.63
Vanimo,PG,-2.6741,141.3028,80.47,77,95,5.1
Portland,US,45.5234,-122.6762,44.6,49,75,4.61
Fairbanks,US,64.8378,-147.7164,6.8,72,1,2.57
Balkhash,KZ,46.844,74.9804,-2.2,84,0,8.95
Marawi,PH,7.9986,124.2928,82.0,80,90,4.0
Tura,IN,25.5198,90.2201,66.9,42,0,1.36
Itarema,BR,-2.9248,-39.9167,79.0,86,47,10.33
Nanortalik,GL,60.1432,-45.2371,22.33,87,19,10.78
Manggar,ID,-2.8833,108.2667,82.63,76,100,9.62
Bonavista,CA,48.6499,-53.1147,21.0,86,100,11.5
Bozhou,CN,33.8772,115.7703,52.88,59,0,8.05
Yamandu,SL,7.9362,-11.4928,73.35,90,0,1.14
Ulaangom,MN,49.9811,92.0667,0.27,66,7,2.13
Opuwo,NA,-18.0607,13.84,66.7,77,100,4.63
Hobart,AU,-42.8794,147.3294,75.0,40,0,4.61
Saint-Pierre,RE,-21.3393,55.4781,77.0,69,40,4.61
Kabanjahe,ID,3.1001,98.4908,77.0,94,75,3.44
Guozhen,CN,34.3659,107.359,53.08,42,94,0.83
Kaputa,ZM,-8.4689,29.6619,69.03,83,100,1.36
Makakilo City,US,21.3469,-158.0858,80.6,44,40,6.91
Keti Bandar,PK,24.1447,67.4497,66.36,53,100,1.63
Thinadhoo,MV,0.5333,72.9333,81.54,78,65,11.63
La Reforma,MX,25.0833,-108.05,63.0,87,0,1.01
Saint George,US,37.1041,-113.5841,62.6,25,40,11.5
Tiksi,RU,71.6872,128.8694,-11.81,89,8,4.03
Jalu,LY,29.0331,21.5482,55.44,35,0,6.96
Maricá,BR,-22.9194,-42.8186,78.01,88,75,8.05
Stawell,AU,-37.05,142.7667,91.2,25,94,22.17
Talāja,IN,21.35,72.05,67.35,31,100,7.11
Mayumba,GA,-3.432,10.6554,77.32,90,84,3.71
Barrhead,GB,55.7992,-4.3929,21.0,92,0,2.3
Forsytheganj,BY,52.6333,29.7333,6.46,95,100,4.76
Aykhal,RU,66.0,111.5,-18.76,86,6,5.46
Khorinsk,RU,52.1657,109.7726,14.2,89,100,5.3
Kharian,PK,32.8149,73.8636,48.2,100,90,2.21
Lampazos de Naranjo,MX,27.0167,-100.5167,72.91,67,59,6.42
Tocopilla,CL,-22.092,-70.1979,66.87,71,30,2.55
Buraidah,SA,26.326,43.975,51.8,100,0,2.3
Saint-Augustin,CA,51.226,-58.6502,13.26,96,100,10.83
Maragogi,BR,-9.0122,-35.2225,78.01,86,5,9.57
Havelock,US,34.8791,-76.9013,48.2,81,90,12.66
Ukiah,US,39.1502,-123.2078,62.6,51,1,4.61
Malakal,SS,9.5334,31.6605,71.01,24,69,5.26
Halifax,CA,44.6453,-63.5724,19.4,73,23,9.22
Yuancheng,CN,36.652,107.7896,41.05,61,100,10.92
Apozol,MX,21.4833,-103.1,67.32,24,0,8.05
Kolokani,ML,13.5728,-8.0339,74.86,18,11,9.33
Havre-St-Pierre,CA,50.2334,-63.5986,3.2,60,20,14.97
Chernolesskoye,RU,44.7156,43.7133,39.67,80,3,3.11
Elk Point,US,42.6833,-96.6836,6.8,66,75,8.05
Mayo,US,38.8876,-76.5119,34.0,100,90,8.37
Sayán,PE,-11.1361,-77.1933,71.33,62,100,2.59
Zhangjiakou,CN,40.81,114.8794,36.09,66,62,0.87
Amazar,RU,53.858,120.875,11.84,92,100,3.65
Norsup,VU,-16.0667,167.3833,84.47,68,10,6.51
Kahului,US,20.8947,-156.47,78.8,47,40,21.85
Tabou,CI,4.423,-7.3528,78.08,89,0,6.26
Port Pirie,AU,-33.1833,138.0167,98.6,19,100,27.63
Santa Cruz de la Sierra,BO,-17.8,-63.1667,69.8,88,90,5.75
Sohag,EG,26.557,31.6948,53.6,54,0,3.44
Nome,US,64.5011,-165.4064,-5.8,49,1,8.05
Nālūt,LY,30.3333,10.85,50.29,44,0,3.85
Nouakchott,MR,18.0858,-15.9785,68.0,13,77,8.05
Flin Flon,CA,54.7682,-101.865,-27.08,85,93,4.92
Nang Rong,TH,14.6377,102.7914,73.0,100,0,6.91
Rio Grande,BR,-32.035,-52.0986,72.0,92,100,4.0
Labuhan,ID,-6.8844,112.2051,81.81,79,100,4.7
Río Gallegos,AR,-51.6226,-69.2181,60.8,77,0,28.77
Djibouti,DJ,11.5,42.5,69.8,83,1,3.44
Quimper,FR,48.0,-4.1,28.4,64,0,11.5
Fortuna,US,40.5982,-124.1573,51.01,81,1,10.36
Pedro II,BR,-4.4247,-41.4586,68.85,100,100,1.52
Coahuayana Viejo,MX,18.7333,-103.6833,69.8,88,20,1.05
Kiunga,PG,-6.1219,141.2906,89.71,60,34,4.56
Mahon,ES,39.8885,4.2658,48.2,87,0,5.75
Krasnyy Luch,UA,48.1395,38.9371,37.11,100,100,8.43
Puerto Triunfo,CO,5.8726,-74.6403,74.93,89,100,1.01
Dumra,IN,26.5667,85.5167,60.66,68,0,1.1
La Paz,BO,-16.5,-68.15,46.4,93,75,9.22
Along,IN,28.1667,94.7667,60.35,46,41,0.72
Maniitsoq,GL,65.4167,-52.9,16.36,86,0,4.97
Margate,GB,51.3813,1.3862,34.0,63,100,3.0
Kruisfontein,ZA,-34.0033,24.7314,70.0,91,19,1.16
Poum,NC,-20.2333,164.0167,79.29,74,2,16.33
Longyan,CN,25.1072,117.0225,57.33,83,88,2.44
Rocha,UY,-34.4833,-54.3333,66.18,94,23,7.85
Lalín,ES,42.7167,-8.1167,52.0,93,75,10.36
Bereket,TM,39.2446,55.5154,46.18,58,97,16.13
Brigantine,US,39.4101,-74.3646,34.0,69,90,3.44
Mandiana,GN,10.6333,-8.6833,72.7,21,0,3.2
Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,6.91
Buin,CL,-33.7333,-70.75,71.01,68,0,14.97
Zhigansk,RU,66.7697,123.3711,-13.54,86,100,10.98
Sibolga,ID,1.7427,98.7792,82.49,72,67,1.12
Mvomero,TZ,-6.25,38.6667,75.16,90,100,5.32
Dubbo,AU,-32.25,148.6167,82.4,34,0,11.5
Amiens,FR,49.9,2.3,21.99,86,0,8.05
Dunedin,NZ,-45.8742,170.5036,64.0,49,56,7.0
Vila,PT,42.0304,-8.1588,48.0,96,100,4.0
Itaituba,BR,-4.2761,-55.9836,77.0,94,20,1.9
Inhambane,MZ,-23.865,35.3833,78.82,81,12,13.42
Ucluelet,CA,48.9329,-125.5528,39.0,69,40,3.44
Krasnosel'kup,RU,65.7,82.4667,-23.93,86,100,4.52
Krasnogvardeyskoye,RU,45.8456,41.5186,44.11,89,1,8.97
Bonthe,SL,7.5264,-12.505,77.5,88,77,4.68
West Wendover,US,40.7391,-114.0733,50.0,43,1,6.46
Tete,MZ,-16.1564,33.5867,77.0,94,40,3.44
San Policarpo,PH,12.1791,125.5072,80.78,84,64,12.08
Kununurra,AU,-15.7667,128.7333,87.8,74,40,8.05
Poronaysk,RU,49.2167,143.1167,20.12,90,86,2.82
Totness,SR,5.8833,-56.3167,76.64,81,1,11.74
Wad Medani,SD,14.4012,33.5199,71.24,23,0,9.04
Shingū,JP,33.7333,135.9833,51.8,43,75,16.11
Te Anau,NZ,-45.4167,167.7167,52.45,78,100,6.04
Waipawa,NZ,-41.4122,175.5153,68.0,52,8,26.46
Vila Velha,BR,-20.3297,-40.2925,82.0,88,40,4.61
Nyuksenitsa,RU,60.4128,44.2397,-11.04,89,49,4.52
Ust'-Ilimsk,RU,58.0006,102.6619,-5.39,88,67,1.99
Chapais,CA,49.7834,-74.8492,-11.2,84,1,2.51
Danville,US,36.586,-79.395,46.4,57,90,3.44
Gharavŭtí,TJ,37.5672,68.4469,41.0,93,20,2.24
Zaprešić,HR,45.8564,15.8078,36.0,93,90,2.3
Palu,ID,-0.8917,119.8707,90.68,52,94,0.49
Kulhudhuffushi,MV,6.6221,73.07,81.28,63,69,5.66
Nanjing,CN,32.0617,118.7778,51.01,100,90,2.24
São Filipe,CV,14.8961,-24.4956,71.69,68,23,7.61
Hūn,LY,29.1268,15.9477,60.87,29,0,6.82
Inuvik,CA,68.3499,-133.7218,-25.6,75,0,3.44
Muros,ES,42.7762,-9.0603,57.99,95,100,8.01
Bischofshofen,AT,47.4167,13.2167,27.0,86,75,13.8
Ratnagiri,IN,16.9833,73.3,70.32,35,1,3.6
Røros,NO,62.5747,11.3842,-32.8,68,0,1.14
Sheregesh,RU,52.9209,87.9869,-14.17,89,100,4.16
Muncar,ID,-8.4333,114.3333,84.02,68,51,1.77
Hope,US,33.6671,-93.5916,39.99,77,100,4.0
Port Said,EG,31.2565,32.2841,62.6,72,0,5.75
Novobirilyussy,RU,56.9514,90.6661,-9.87,88,100,8.57
Vrapčište,MK,41.8339,20.8853,53.6,62,40,2.3
Mandalgovi,MN,45.7625,106.2708,24.22,87,37,21.85
Porto Belo,BR,-27.1578,-48.5531,77.0,73,75,4.61
Collecchio,IT,44.754,10.2184,41.0,93,0,2.44
Mashhad,IR,36.297,59.6062,41.0,65,0,4.61
Caravelas,BR,-17.7125,-39.2481,75.38,83,0,3.85
Nicoya,CR,10.1483,-85.452,80.6,57,0,9.22
Guerrero Negro,MX,27.9769,-114.0611,57.61,71,66,17.9
Jalingo,NG,8.8833,11.3667,72.39,18,14,4.03
Lucea,JM,18.451,-78.1736,78.8,83,20,8.05
Constantine,DZ,36.365,6.6147,44.6,87,40,8.05
Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,74.75,85,0,8.84
Challans,FR,46.8436,-1.8749,27.0,74,0,12.66
Ambon City,ID,-3.6954,128.1814,91.4,58,20,5.75
La Orilla,MX,17.9833,-102.2333,72.59,82,0,6.06
Boa Vista,BR,2.8197,-60.6733,82.4,54,0,10.36
Tahoua,NE,14.8888,5.2692,71.6,13,0,6.91
Wajid,SO,3.8093,43.2471,69.48,78,26,21.47
Sinnamary,GF,5.3833,-52.95,76.84,85,55,13.02
Ponta Delgada,PT,37.7333,-25.6667,59.0,77,40,19.57
Alofi,NU,-19.0595,-169.9187,86.0,74,75,9.22
Celestún,MX,20.8667,-90.4,77.79,71,19,12.1
Turinskaya Sloboda,RU,57.6232,64.3858,-19.82,87,12,4.52
Morondava,MG,-20.2833,44.2833,78.75,83,100,14.07
Myaundzha,RU,63.0494,147.1858,5.52,89,100,2.77
Bridgetown,BB,13.1,-59.6167,78.8,61,40,21.85
Ladário,BR,-19.0047,-57.6017,72.95,89,100,2.35
Ouro Preto do Oeste,BR,-10.7481,-62.2158,71.64,96,100,3.53
Korčula,HR,42.9622,17.1369,50.0,93,90,6.91
